name;epidCode;growthRate;archived;externalID;country
Baden-Württemberg;DE-BW;0;0;13000008;Germany
Bayern;DE-BY;0;0;13000009;Germany
Brandenburg;DE-BB;0;0;13000012;Germany
Berlin;DE-BE;0;0;13000011;Germany
Bremen;DE-HB;0;0;13000004;Germany
Hamburg;DE-HH;0;0;13000002;Germany
Hessen;DE-HE;0;0;13000006;Germany
Mecklenburg-Vorpommern;DE-MV;0;0;13000013;Germany
Niedersachsen;DE-NI;0;0;13000003;Germany
Nordrhein-Westfalen;DE-NW;0;0;13000005;Germany
Rheinland-Pfalz;DE-RP;0;0;13000007;Germany
Saarland;DE-SL;0;0;13000010;Germany
Sachsen;DE-SN;0;0;13000014;Germany
Sachsen-Anhalt;DE-ST;0;0;13000015;Germany
Schleswig-Holstein;DE-SH;0;0;13000001;Germany
Thüringen;DE-TH;0;0;13000016;Germany
